year L2SocSec Just503D Just503R RGovDumy
1948 1.83 0 2.44 0
1949 3.44 0 2.44 0
1950 3.05 0 2.44 0
1951 3.57 0 2.44 0
1952 4.73 5.41 3.5 1
1953 6.47 5.41 3.5 1
1954 7.75 5.41 3.5 1
1955 8.7 5.41 3.5 1
1956 9.97 3.04 1.03 1
1957 10.57 3.04 1.03 1
1958 12.58 3.04 1.03 1
1959 12.76 3.04 1.03 1
1960 13.45 2.01 0.84 0
1961 14.18 2.01 0.84 0
1962 14.02 2.01 0.84 0
1963 14.77 2.01 0.84 0
1964 15.38 0.82 0.28 0
1965 13.92 0.82 0.28 0
1966 13.29 0.82 0.28 0
1967 14.86 0.82 0.28 0
1968 15.47 0.62 0.2 1
1969 17.07 0.62 0.2 1
1970 17.41 0.62 0.2 1
1971 19.98 0.62 0.2 1
1972 20.74 1.8 0.18 1
1973 19.46 1.8 0.18 1
1974 19.88 1.8 0.18 1
1975 20.79 1.8 0.18 1
1976 20.46 0.67 0.62 0
1977 20.67 0.67 0.62 0
1978 20.06 0.67 0.62 0
1979 20.58 0.67 0.62 0
1980 20.91 3.14 2.28 1
1981 21.12 3.14 2.28 1
1982 20.92 3.14 2.28 1
1983 19.93 3.14 2.28 1
